Mailing City,Mailing State/Province,Mailing Zip/Postal Code,Mailing Country,Start Term and Year,Name,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Non_English_Speakers,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
Aberdeen,WA,98520,United States,Spring 2022,ZCTA5 98520,24989,56600,39.3,4825,17322,1776,19200,752,17598,20111,565,22414,0,22214,3907,226700,934,5387,3143,,188465.0,20468,4432,98520
Abilene,TX,79606,United States,Fall 2020,ZCTA5 79606,27797,73381,33.2,3420,17689,2598,21630,1862,19420,21768,235,25852,31,27461,2161,238700,1114,6305,5384,,252005.0,22108,3764,79606
Acton,CA,93510,United States,Fall 2023,ZCTA5 93510,7397,123438,46.3,1402,5281,376,5379,136,4647,6109,61,7290,0,7237,834,664000,1714,2186,232,,138160.0,6225,1191,93510
Acton,CA,93510,United States,Fall 2023,ZCTA5 93510,7397,123438,46.3,1402,5281,376,5379,136,4647,6109,61,7290,0,7237,834,664000,1714,2186,232,,138160.0,6225,1191,93510
Ada,MI,49301,United States,Fall 2019,ZCTA5 49301,20092,168135,41.8,864,13598,932,17803,149,17259,15273,134,20078,0,20053,377,492100,1873,6637,309,,182500.0,15815,1820,49301
Adelanto,CA,92301,United States,Fall 2019,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2019,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Spring 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2020,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2021,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2021,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2021,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2021,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2022,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2023,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2023,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2023,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
Adelanto,CA,92301,United States,Fall 2023,ZCTA5 92301,38565,61709,28.8,6203,21506,1959,13380,5805,3470,27202,1678,36276,44,36054,6560,276100,1309,5738,3521,,531890.0,27883,7174,92301
